"","School.Name","CONTENT_AREA","CATEGORY","TYPE","GRADE_SUBJECT","YEAR","ACCOUNTABLE","PARTICIPANT","REPORTABLE","LEVEL_NOT_DETERMINED","LEVEL_NOT_DETERMINED_PCT","BELOW_BASIC","BELOW_BASIC_PCT","BASIC","BASIC_PCT","PROFICIENT","PROFICIENT_PCT","ADVANCED","ADVANCED_PCT","MAP_INDEX","MEAN_SCALE_SCORE","MEDIAN_TERRANOVA"
"105","CARR LANE VPA MIDDLE  (3070)","Science","Total","Total","Eighth Grade",2015,189,NA,189,NA,NA,93,49.2,75,39.7,19,10.1,NA,NA,NA,665.5,"--"
"106","CLAY ELEM.  (4360)","Eng. Language Arts","Total","Total","Third Grade",2015,30,NA,30,NA,NA,18,60,NA,16.7,NA,23.3,NA,NA,NA,2354.6,"--"
"107","CLAY ELEM.  (4360)","Eng. Language Arts","Total","Total","Fourth Grade",2015,17,NA,17,NA,NA,11,64.7,NA,17.6,NA,11.8,NA,5.9,NA,2391.4,"--"
"108","CLAY ELEM.  (4360)","Eng. Language Arts","Total","Total","Fifth Grade",2015,26,NA,26,NA,NA,14,53.8,NA,34.6,NA,11.5,NA,NA,NA,2439.8,"--"
"109","CLAY ELEM.  (4360)","Mathematics","Total","Total","Third Grade",2015,30,NA,30,NA,NA,18,60,11,36.7,NA,NA,NA,NA,NA,2342.6,"--"
"110","CLAY ELEM.  (4360)","Mathematics","Total","Total","Fourth Grade",2015,17,NA,17,NA,NA,11,64.7,NA,35.3,NA,NA,NA,NA,NA,2389.2,"--"
"111","CLAY ELEM.  (4360)","Mathematics","Total","Total","Fifth Grade",2015,26,NA,26,NA,NA,20,76.9,NA,23.1,NA,NA,NA,NA,NA,2407.8,"--"
"112","CLAY ELEM.  (4360)","Science","Total","Total","Fifth Grade",2015,26,NA,26,NA,NA,11,42.3,12,46.2,NA,11.5,NA,NA,NA,627.6,"--"
"113","COLE ELEM.  (4400)","Eng. Language Arts","Total","Total","Third Grade",2015,40,NA,40,NA,NA,23,57.5,NA,22.5,NA,7.5,NA,12.5,NA,2358.1,"--"
"114","COLE ELEM.  (4400)","Eng. Language Arts","Total","Total","Fourth Grade",2015,30,NA,30,NA,NA,17,56.7,NA,23.3,NA,13.3,NA,6.7,NA,2396.2,"--"
"115","COLE ELEM.  (4400)","Eng. Language Arts","Total","Total","Fifth Grade",2015,29,NA,29,NA,NA,14,48.3,NA,17.2,NA,27.6,NA,6.9,NA,2443.9,"--"
"116","COLE ELEM.  (4400)","Eng. Language Arts","Total","Total","Sixth Grade",2015,28,NA,28,NA,NA,11,39.3,13,46.4,NA,7.1,NA,7.1,NA,2479.5,"--"
"117","COLE ELEM.  (4400)","Eng. Language Arts","Total","Total","Seventh Grade",2015,47,NA,47,NA,NA,18,38.3,13,27.7,15,31.9,NA,NA,NA,2506.2,"--"
"118","COLE ELEM.  (4400)","Eng. Language Arts","Total","Total","Eighth Grade",2015,38,NA,38,NA,NA,NA,18.4,19,50,NA,23.7,NA,7.9,NA,2550.6,"--"
"119","COLE ELEM.  (4400)","Mathematics","Total","Total","Third Grade",2015,40,NA,40,NA,NA,22,55,11,27.5,NA,17.5,NA,NA,NA,2362.6,"--"
"120","COLE ELEM.  (4400)","Mathematics","Total","Total","Fourth Grade",2015,30,NA,30,NA,NA,17,56.7,11,36.7,NA,6.7,NA,NA,NA,2408,"--"
"121","COLE ELEM.  (4400)","Mathematics","Total","Total","Fifth Grade",2015,29,NA,29,NA,NA,19,65.5,NA,20.7,NA,13.8,NA,NA,NA,2425.4,"--"
"122","COLE ELEM.  (4400)","Mathematics","Total","Total","Sixth Grade",2015,28,NA,28,NA,NA,19,67.9,NA,17.9,NA,14.3,NA,NA,NA,2460.2,"--"
"123","COLE ELEM.  (4400)","Mathematics","Total","Total","Seventh Grade",2015,47,NA,47,NA,NA,33,70.2,14,29.8,NA,NA,NA,NA,NA,2430.2,"--"
"124","COLE ELEM.  (4400)","Mathematics","Total","Total","Eighth Grade",2015,38,NA,38,NA,NA,27,71.1,NA,21.1,NA,5.3,NA,NA,NA,2468.2,"--"
"125","COLE ELEM.  (4400)","Science","Total","Total","Fifth Grade",2015,29,NA,29,NA,NA,14,48.3,10,34.5,NA,10.3,NA,6.9,NA,626.5,"--"
"126","COLE ELEM.  (4400)","Science","Total","Total","Eighth Grade",2015,38,NA,38,NA,NA,20,52.6,11,28.9,NA,15.8,NA,NA,NA,662.7,"--"
"127","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Eng. Language Arts","Total","Total","Third Grade",2015,31,NA,31,NA,NA,15,48.4,NA,25.8,NA,16.1,NA,9.7,NA,2370.1,"--"
"128","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Eng. Language Arts","Total","Total","Fourth Grade",2015,20,NA,20,NA,NA,17,85,NA,15,NA,NA,NA,NA,NA,2348.7,"--"
"129","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Eng. Language Arts","Total","Total","Fifth Grade",2015,23,NA,23,NA,NA,19,82.6,NA,17.4,NA,NA,NA,NA,NA,2381,"--"
"130","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Eng. Language Arts","Total","Total","Sixth Grade",2015,22,NA,22,NA,NA,NA,40.9,NA,40.9,NA,NA,NA,13.6,NA,2472.4,"--"
"131","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Mathematics","Total","Total","Third Grade",2015,31,NA,31,NA,NA,21,67.7,NA,16.1,NA,12.9,NA,NA,NA,2366,"--"
"132","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Mathematics","Total","Total","Fourth Grade",2015,20,NA,20,NA,NA,16,80,NA,20,NA,NA,NA,NA,NA,2358.5,"--"
"133","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Mathematics","Total","Total","Fifth Grade",2015,23,NA,23,NA,NA,22,NA,NA,NA,NA,NA,NA,NA,NA,2382.9,"--"
"134","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Mathematics","Total","Total","Sixth Grade",2015,22,NA,22,NA,NA,13,59.1,NA,36.4,NA,NA,NA,NA,NA,2429.2,"--"
"135","COLUMBIA ELEM. COMM. ED. CTR.  (4420)","Science","Total","Total","Fifth Grade",2015,23,NA,23,NA,NA,17,73.9,NA,26.1,NA,NA,NA,NA,NA,607.5,"--"
"136","COMPTON-DREW ILC MIDDLE  (3390)","Eng. Language Arts","Total","Total","Sixth Grade",2015,149,NA,149,NA,NA,63,42.3,46,30.9,29,19.5,11,7.4,NA,2477.8,"--"
"137","COMPTON-DREW ILC MIDDLE  (3390)","Eng. Language Arts","Total","Total","Seventh Grade",2015,168,NA,168,NA,NA,50,29.8,55,32.7,51,30.4,12,7.1,NA,2517.6,"--"
