Name,YEAR,ENROLLMENT,TotalNumberOfIncidents
CLAY ELEM. (4360),2010,183,0
CLAY ELEM. (4360),2011,152,0
CLAY ELEM. (4360),2012,125,0
CLAY ELEM. (4360),2013,139,0
CLAY ELEM. (4360),2014,145,0
CLAY ELEM. (4360),2015,164,0
COLE ELEM. (4400),2008,200,0
COLE ELEM. (4400),2009,166,1
COLE ELEM. (4400),2010,158,1
COLE ELEM. (4400),2011,156,1
COLE ELEM. (4400),2012,214,1
COLE ELEM. (4400),2013,299,0
COLE ELEM. (4400),2014,339,3
COLE ELEM. (4400),2015,382,6
COLUMBIA ELEM. COMM. ED. CTR. (4420),2008,193,3
COLUMBIA ELEM. COMM. ED. CTR. (4420),2009,200,0
COLUMBIA ELEM. COMM. ED. CTR. (4420),2010,179,0
COLUMBIA ELEM. COMM. ED. CTR. (4420),2011,185,3
COLUMBIA ELEM. COMM. ED. CTR. (4420),2012,174,0
COLUMBIA ELEM. COMM. ED. CTR. (4420),2013,198,4
COLUMBIA ELEM. COMM. ED. CTR. (4420),2014,221,2
COLUMBIA ELEM. COMM. ED. CTR. (4420),2015,182,0
COTE BRILLIANTE ELEM. (4440),2008,261,2
COTE BRILLIANTE ELEM. (4440),2009,205,3
COTE BRILLIANTE ELEM. (4440),2010,204,4
COTE BRILLIANTE ELEM. (4440),2011,178,3
COTE BRILLIANTE ELEM. (4440),2012,166,0
COTE BRILLIANTE ELEM. (4440),2013,175,0
COTE BRILLIANTE ELEM. (4440),2014,216,0
COTE BRILLIANTE ELEM. (4440),2015,235,2
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2008,414,0
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2009,441,0
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2010,427,1
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2011,426,0
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2012,411,2
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2013,418,2
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2014,378,0
DEWEY SCH.-INTERNAT'L. STUDIES (4470),2015,371,1
DUNBAR AND BR. (4480),2008,232,16
DUNBAR AND BR. (4480),2009,241,10
DUNBAR AND BR. (4480),2010,193,8
DUNBAR AND BR. (4480),2011,188,4
DUNBAR AND BR. (4480),2012,198,0
DUNBAR AND BR. (4480),2013,202,2
DUNBAR AND BR. (4480),2014,203,0
DUNBAR AND BR. (4480),2015,194,1
FARRAGUT ELEM. (4580),2008,202,1
FARRAGUT ELEM. (4580),2009,178,3
FARRAGUT ELEM. (4580),2010,174,5
FARRAGUT ELEM. (4580),2011,171,1
FARRAGUT ELEM. (4580),2012,166,2
FARRAGUT ELEM. (4580),2013,177,0
FARRAGUT ELEM. (4580),2014,185,0
FARRAGUT ELEM. (4580),2015,164,0
FORD-FORD BR. ELEM. COMM. ED. (4630),2008,288,1
FORD-FORD BR. ELEM. COMM. ED. (4630),2009,291,2
FORD-FORD BR. ELEM. COMM. ED. (4630),2010,356,1
FORD-FORD BR. ELEM. COMM. ED. (4630),2011,289,4
FORD-FORD BR. ELEM. COMM. ED. (4630),2012,214,6
FORD-FORD BR. ELEM. COMM. ED. (4630),2013,207,7
FORD-FORD BR. ELEM. COMM. ED. (4630),2014,249,2
FORD-FORD BR. ELEM. COMM. ED. (4630),2015,297,1
FROEBEL ELEM. (4660),2008,273,0
FROEBEL ELEM. (4660),2009,262,0
