Name,Year,Out_School_Suspension
MITCHELL ELEM.,2015,
MONROE ELEM.,2008,1.1
MONROE ELEM.,2009,0.6
MONROE ELEM.,2010,0
MONROE ELEM.,2011,0.4
MONROE ELEM.,2012,2.9
MONROE ELEM.,2013,0.6
MONROE ELEM.,2014,1
MONROE ELEM.,2015,0
MULLANPHY BOTANICAL GARDENS,2008,0.3
MULLANPHY BOTANICAL GARDENS,2009,0.2
MULLANPHY BOTANICAL GARDENS,2010,0
MULLANPHY BOTANICAL GARDENS,2011,0
MULLANPHY BOTANICAL GARDENS,2012,0
MULLANPHY BOTANICAL GARDENS,2013,0
MULLANPHY BOTANICAL GARDENS,2014,0
MULLANPHY BOTANICAL GARDENS,2015,0.8
NORTHWEST MIDDLE,2008,7.2
NORTHWEST MIDDLE,2009,3.1
NORTHWEST MIDDLE,2010,
NORTHWEST MIDDLE,2011,
NORTHWEST MIDDLE,2012,
NORTHWEST MIDDLE,2013,
NORTHWEST MIDDLE,2014,
NORTHWEST MIDDLE,2015,
OAK HILL ELEM.,2008,1.2
OAK HILL ELEM.,2009,0.3
OAK HILL ELEM.,2010,1.4
OAK HILL ELEM.,2011,0
OAK HILL ELEM.,2012,0
OAK HILL ELEM.,2013,0
OAK HILL ELEM.,2014,0
OAK HILL ELEM.,2015,0
PEABODY ELEM.,2008,1.4
PEABODY ELEM.,2009,2.3
PEABODY ELEM.,2010,2.2
PEABODY ELEM.,2011,1.6
PEABODY ELEM.,2012,3.5
PEABODY ELEM.,2013,0.3
PEABODY ELEM.,2014,1
PEABODY ELEM.,2015,4.4
ROOSEVELT 9TH GRADE CTR.,2008,49.9
ROOSEVELT 9TH GRADE CTR.,2009,31.8
ROOSEVELT 9TH GRADE CTR.,2010,
ROOSEVELT 9TH GRADE CTR.,2011,
ROOSEVELT 9TH GRADE CTR.,2012,
ROOSEVELT 9TH GRADE CTR.,2013,
ROOSEVELT 9TH GRADE CTR.,2014,
ROOSEVELT 9TH GRADE CTR.,2015,
ROOSEVELT HIGH,2008,6.6
ROOSEVELT HIGH,2009,16.4
ROOSEVELT HIGH,2010,19.2
ROOSEVELT HIGH,2011,12.7
ROOSEVELT HIGH,2012,15.8
ROOSEVELT HIGH,2013,10.4
ROOSEVELT HIGH,2014,11.1
ROOSEVELT HIGH,2015,9.1
SCRUGGS ELEM.,2008,1.8
SCRUGGS ELEM.,2009,1.4
SCRUGGS ELEM.,2010,
SCRUGGS ELEM.,2011,
SCRUGGS ELEM.,2012,
SCRUGGS ELEM.,2013,
SCRUGGS ELEM.,2014,
SCRUGGS ELEM.,2015,
SHAW VISUAL/PERF. ARTS CTR.,2008,0
SHAW VISUAL/PERF. ARTS CTR.,2009,0
SHAW VISUAL/PERF. ARTS CTR.,2010,0
SHAW VISUAL/PERF. ARTS CTR.,2011,0.9
SHAW VISUAL/PERF. ARTS CTR.,2012,1.7
SHAW VISUAL/PERF. ARTS CTR.,2013,0
SHAW VISUAL/PERF. ARTS CTR.,2014,0.3
SHAW VISUAL/PERF. ARTS CTR.,2015,0.5
SHENANDOAH ELEM.,2008,0.9
